Data_Hora,Ativo,Ticker,Moeda,Periodo,Populacao,Geracoes,Taxa_Mutacao,Taxa_Crossover,Lookback,Horizonte_Dias,Ultimo_Preco_Real,Preco_Projetado_Final,Variacao_Esperada_Pct,Tendencia,RMSE,MAE,MAPE_Pct,R2,Acuracia_Direcional_Pct
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta ↗,0.045,0.035,0.65,0.92,68.5
2026-09-05 23:48:00,Dólar (USD/BRL),USDBRL=X,BRL,6 Meses,30,15,0.15,0.85,10,5,5.123700141906738,5.1160276128658,-0.14974586386676783,Baixa (Queda),0.035184357329569954,0.02660000831204853,0.5225500212038068,0.8211556222560862,64.42307692307693
2026-09-05 23:48:00,Dólar (USD/BRL),USDBRL=X,BRL,6 Meses,30,15,0.15,0.85,10,5,5.123700141906738,5.1160276128658,-0.14974586386676783,Baixa (Queda),0.035184357329569954,0.02660000831204853,0.5225500212038068,0.8211556222560862,64.42307692307693
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 08:41:04,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada,0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 08:41:15,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada,0.015,0.012,0.25,0.96,85.0
2026-09-06 08:49:46,Bitcoin (BTC/USD),BTC-USD,USD,1y,20,10,0.15,0.85,10,5,79823.8671875,79335.49361660812,-0.6118139700557549,Baixa (Queda),1992.864394093803,1409.7630086426575,1.7792467631082696,0.9827722625103567,48.95522388059702
2026-09-06 09:55:12,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 09:56:41,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 09:59:13,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 09:59:39,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 10:01:16,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 10:13:50,Bitcoin (BTC/USD),BTC-USD,USD,1y,100,0,0.05,0.85,10,5,79823.8672,79450.2384,-0.47,Lateralidade / Neutro [LightGBM],1128.1431,749.8897,0.94,0.9945,71.6
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 10:34:27,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 10:34:37,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 10:35:25,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
2026-09-06 10:36:19,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,0,0,0.0,0.85,10,3,5.5,5.5254,0.46,Lateralidade / Neutro [Regressão Linear (Ridge)],0.0,0.0,0.0,1.0,100.0
2026-09-06 10:36:29,Dólar (USD/BRL),USDBRL=X,BRL,1 Mês,20,5,0.1,0.85,10,3,5.5,5.65,2.73,Alta Estimada [Algoritmo Genético Evolutivo],0.015,0.012,0.25,0.96,85.0
2026-09-06 10:43:37,Dólar (USD/BRL),USDBRL=X,BRL,1y,0,0,0.0,0.85,10,5,5.1237,5.0864,-0.73,Baixa Estimada (Bearish) [Lógica Fuzzy (TSK)],0.0459,0.0353,0.68,0.9038,54.1
2024-01-01 10:00:00,Dólar (USD/BRL),USDBRL=X,BRL,1y,50,20,0.15,0.85,10,5,5.42,5.48,1.1,Alta (Subida),0.045,0.035,0.65,0.92,68.5
